cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
tas,Near-Surface Air Temperature,3hr,air_temperature,"near-surface (usually, 2 meter) air temperature",time: point,longitude latitude time1  height2m,K,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",boundary layer,,,,,,,,
clt,Total Cloud Fraction,3hr,cloud_area_fraction,"For the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",time: mean,longitude latitude time  ,%,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",cloud,,,,,,,,
prc,Convective Precipitation,3hr,convective_precipitation_flux,at surface; includes both liquid and solid phases.,time:mean,longitude latitude time  ,kg m-2 s-1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",precip,,,,,,,,
uas,Eastward Near-Surface Wind,3hr,eastward_wind,"near-surface (usually, 10 meters) eastward component of wind.",time: point,longitude latitude time1  height10m,m s-1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",boundary layer,,,,,,,,
mrsos,Moisture in Upper Portion of Soil Column,3hr,moisture_content_of_soil_layer,the mass of water in all phases in a thin surface soil layer.,time: point area: mean where land,longitude latitude time1  sdepth1,kg m-2,None,land,1,"AerChemMIP, DAMIP, HighResMIP",land,,,,,,,,
vas,Northward Near-Surface Wind,3hr,northward_wind,unset,time: point,longitude latitude time1  height10m,m s-1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",boundary layer,,,,,,,,
pr,Precipitation (liquid and solid),3hr,precipitation_flux,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),time:mean,longitude latitude time  ,kg m-2 s-1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",precip,,,,,,,,
mrro,Total Runoff,3hr,runoff_flux,the total runoff (including drainage through the base of the soil model) leaving the land portion of the grid cell.,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,None,land,1,"AerChemMIP, DAMIP, HighResMIP",land,,,,,,,,
tso,Sea Surface Temperature,3hr,sea_surface_temperature,"temperature of surface of open ocean, sampled synoptically.",time: point area: mean where sea,longitude latitude time1  ,K,None,ocean,1,"AerChemMIP, DAMIP, HighResMIP",ocean,,,,,,,,
prsn,Snowfall Flux,3hr,snowfall_flux,at surface; includes precipitation of all forms of water in the solid phase,time:mean,longitude latitude time  ,kg m-2 s-1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",precip,,,,,,,,
huss,Near-Surface Specific Humidity,3hr,specific_humidity,"near-surface (usually, 2 meter) specific humidity.",time: point,longitude latitude time1  height2m,1,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",boundary layer,,,,,,,,
ps,Surface Air Pressure,3hr,surface_air_pressure,"surface pressure, not mean sea level pressure",time: point,longitude latitude time1  ,Pa,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",atmos-physics,,,,,,,,
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,3hr,surface_diffuse_downwelling_shortwave_flux_in_air,unset,time: mean,longitude latitude time  ,W m-2,None,atmos,1,"AerChemMIP, DAMIP, HighResMIP",radiation,,,,,,,,
